PLOT,ENTRYNO,GID,ENTRY,DESIGNATION,PARENTS,SOURCE,REP,ROW,COLUMN,SEEDING_DATE,FLW,MATURITY,PLTHGT,TILLER,MC,Plotyield-H,MISSHILL,Plotyield-C,Plotyield-Adj,LODGING,Ldg-Sticks,GLH,BPH,BLAST,BB1,BB2,HARVESTDATE,REMARKS
557,A1558,3023555,IR11A303,IR 87530-105-2-3-3,IR04A427/IR 72875-94-3-3-2,A3501,2,4,62,20130608,90,120,126,12,9.1,3010,,2230,3182,3,,,,,1, 1/5,14-Oct,
420,A1559,3023573,IR11A306,IR 87531-25-3-3-3,IR04A427/IR 73006-12-3-3-2,A3502,1,8,57,20130608,89,119,123,20,9.6,3081,,2605,3239,5,S,3,9,1,1,5,11-Oct,
510,A1559,3023573,IR11A306,IR 87531-25-3-3-3,IR04A427/IR 73006-12-3-3-2,A3502,2,5,52,20130608,91,121,125,21,12.4,2705,,2864,2755,7,S,,,,1,3,14-Oct,
347,A1397,3023603,IR11A314,IR 87531-111-2-2-3,IR04A427/IR 73006-12-3-3-2,A3503,1,10,50,20130608,87,117,137,17,10.5,2453,,2438,2553,9,S,3,3,0,5-7,5,09-Oct,shb
412,A1398,3023024,IR11A325,IR 87533-129-3-3-3,IR04A427/IRRI 143,A3504,1,8,49,20130608,88,118,123,17,9.6,2868,,2587,3015,7,S,5,3,4,1,05-Mar,10-Oct,
502,A1399,3023039,IR11A334,IR 87535-124-3-1-3,IR04A427/IR 59682-132-1-1-2 (PSB RC 52),A3505,1,5,60,20130608,92,122,135,14,10.7,2642,,2560,2743,7,S,5,3,4,1,5,17-Oct,
481,A1400,2972722,IR11A341,IR 87542-86-2-2-1,IR05A125/CIHERANG,A3506,1,6,52,20130608,90,120,130,14,10.5,2605,,2719,2711,7,S,5,5,0,1, 1/5,14-Oct,
642,A1401,3158615,IR11A391,IR 89169-89-2-2-1,IR 72875-94-3-3-2/IR 73006-12-3-3-2//Mae khaw,A3251,1,1,52,20130608,92,122,130,15,10.4,2243,,,2337,7,S,3,5,4,1,5,14-Oct,shb
389,A1402,3219693,IR11A417,IR 88684-91-1-1-2,IR05A117/IR02W101,A3507,1,9,41,20130608,92,122,165,13,10.3,3014,,3213,3144,7,S,3,7,2,1,05-Mar,14-Oct,
489,A1403,3157718,IR11A429,IR 88696-131-1-3-3,IR 62161-184-3-1-3-2 R/IR02W101,A3508,1,6,60,20130608,93,123,123,16,11.9,2455,7,2689,2515,5,,3,3,2,1,5,17-Oct,
